id,slug,title,identifier,comment_count,upvote_count,view_count,rating_count,average_rating,post_summary.emotions.overall_sentiment,post_summary.actions.coin_rotation,post_summary.audio_elements.auditory_transcription,post_summary.psycological_view_of_video.trait_one,post_summary.psycological_view_of_video.trait_two,post_summary.psycological_view_of_video.trait_three
11,recipe-for-a-flow-state,Recipe for a flow state,OSsJAMz,0,2,28,7,36,No Data,No Data,No Data,No Data,No Data,No Data
12,why-fit-in,Why fit in..?,iGqBOIW,0,2,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
13,transcending-singularity,Transcending Singularity,QAUE7s4,0,0,84,45,8,No Data,No Data,No Data,No Data,No Data,No Data
14,peak-performance,Peak Performance?,7bKiXIe,0,2,32,6,28,No Data,No Data,No Data,No Data,No Data,No Data
15,our-existential-situation,Our Existential Situation,BLFD9FX,0,1,29,9,33,No Data,No Data,No Data,No Data,No Data,No Data
16,act-now1,act now!,-IQetjo,0,3,29,11,22,No Data,No Data,No Data,No Data,No Data,No Data
17,jump-just-jump,Jump. Just Jump!,4h6e_xx,0,1,16,5,28,No Data,No Data,No Data,No Data,No Data,No Data
19,we-are-made-of-stars,WE ARE MADE OF STARS,ATg3vKN,0,3,141,20,16,No Data,No Data,No Data,No Data,No Data,No Data
23,direct-your-energy-on-the-right-things,Direct your energy on the right things,4kR81rP,0,1,19,7,28,No Data,No Data,No Data,No Data,No Data,No Data
26,be-brave-be-different,Be Brave. Be Different,duZxQ8u,0,2,19,4,26,No Data,No Data,No Data,No Data,No Data,No Data
27,consistency,Consistency,6s_t4mF,0,0,18,6,31,No Data,No Data,No Data,No Data,No Data,No Data
28,reprogram-your-subconscious-mind,Reprogram your subconscious mind,N76WFR_,0,0,11,3,34,No Data,No Data,No Data,No Data,No Data,No Data
29,how-to-be-disciplined,How to be disciplined,qF8xiTK,0,3,22,8,35,No Data,No Data,No Data,No Data,No Data,No Data
30,ask-yourself,Ask yourself,IJ5Wm42,0,2,14,6,35,No Data,No Data,No Data,No Data,No Data,No Data
31,don-t-laugh,Don't laugh,MvGZW6k,0,3,107,39,6,No Data,No Data,No Data,No Data,No Data,No Data
32,always-choose-peace-over-drama,always choose peace over drama,uzAPdKH,2,1,18,5,44,No Data,No Data,No Data,No Data,No Data,No Data
33,enough-is-enough,Enough is enough,ldw7u7X,0,4,83,27,19,No Data,No Data,No Data,No Data,No Data,No Data
34,learn-to-think,Learn to think,PPnB7hP,0,1,11,8,36,No Data,No Data,No Data,No Data,No Data,No Data
35,life-is-shorter-than-you-think,Life is shorter than you think,mYGJL63,0,1,17,6,33,No Data,No Data,No Data,No Data,No Data,No Data
36,knowledge-will-liberate-you,Knowledge will liberate you,ir6EYdh,0,3,27,11,30,No Data,No Data,No Data,No Data,No Data,No Data
38,meditate,meditate🧘‍♂️,UeFcjDi,0,1,47,16,16,No Data,No Data,No Data,No Data,No Data,No Data
39,take-the-holy-vible-pill,take the holy vible pill :),hz-SaH5,0,2,23,5,36,No Data,No Data,No Data,No Data,No Data,No Data
40,trials-to-test-you,trials to test you...,LDq-waR,0,3,47,11,22,No Data,No Data,No Data,No Data,No Data,No Data
43,why-are-you-here,why are you here?,G7fiCPQ,0,2,75,34,9,No Data,No Data,No Data,No Data,No Data,No Data
44,escape-the-matrix2,escape the matrix,eKM88YS,0,11,146,39,7,No Data,No Data,No Data,No Data,No Data,No Data
46,reject-cheap-dopamine,reject cheap dopamine,Hf3MG1Q,0,0,14,5,34,No Data,No Data,No Data,No Data,No Data,No Data
47,be-aware,be aware...,ZtfV2v8,0,1,16,5,26,No Data,No Data,No Data,No Data,No Data,No Data
49,2-truths-to-set-you-free,2 truths to set you free,wUXRVBy,0,1,23,6,31,No Data,No Data,No Data,No Data,No Data,No Data
50,live,LIVE!,8DFyXrK,1,1,13,5,21,No Data,No Data,No Data,No Data,No Data,No Data
52,matthew-25-29,Matthew 25:29,xWDtKPr,1,5,127,12,28,No Data,No Data,No Data,No Data,No Data,No Data
54,change-your-environment,Change your environment!,p4woqO_,0,2,7,0,0,No Data,No Data,No Data,No Data,No Data,No Data
56,keep-on-fighting,keep on fighting!! 😤,3Q-c1-p,0,6,87,34,6,No Data,No Data,No Data,No Data,No Data,No Data
58,act-now,act now!,ag6QDoB,0,3,21,6,36,No Data,No Data,No Data,No Data,No Data,No Data
59,push-through-the-pain,push through the pain 🫡,O06plAt,0,1,24,8,38,No Data,No Data,No Data,No Data,No Data,No Data
60,flip-the-switch,flip the switch,sHgPIzs,2,1,33,6,27,No Data,No Data,No Data,No Data,No Data,No Data
61,beff-jezos-more-energy-is-good-e-acc,Beff Jezos - More energy is Good e/acc,4rxm7I7,1,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
62,what-is-e-acc,what is e/acc,jeB7KQI,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
63,this-app-is-literally-steroids-for-your-brain,This app is literally steroids for your brain,ZK4Tddo,2,3,22,0,0,No Data,No Data,No Data,No Data,No Data,No Data
64,gratitude-acc,Gratitude/Acc 🖖🫡,T9Uf3Rm,1,4,19,0,0,No Data,No Data,No Data,No Data,No Data,No Data
65,tiktok-steals-your-dreams-we-help-you-attain-them,"tiktok steals your dreams, we help you attain them",7kjPNvP,1,5,14,0,0,No Data,No Data,No Data,No Data,No Data,No Data
66,a-new-dawn-of-personalized-computing-is-is-front-of-you-rn,A new dawn of personalized computing is is front of you rn,20yQHFT,2,5,10,0,0,No Data,No Data,No Data,No Data,No Data,No Data
67,bloomsday-is-coming,BLOOMSDAY IS COMING 🥰,haa9nmR,1,3,13,0,0,No Data,No Data,No Data,No Data,No Data,No Data
68,dyson-sphere,DYSON SPHERE,vdlglKL,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
69,new-culture-e-acc,new culture e/acc,sTOlg-4,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
70,is-e-acc-religion,is e/acc religion?,mXqKi8Y,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
71,choose,choose…,s9efPLn,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
72,how-would-you,how would you?,UIOHEmG,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
73,elevate,elevate,MgKM7Bs,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
74,war-of-images,war of images,YRS2WZn,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
75,what-is-reality,what is reality?,H-eMSTL,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
